aX,aY,aZ,gX,gY,gZ
0.07,-0.08,0.98,13.23,2.45,0.69
0.07,-0.09,1.0,11.04,3.31,-0.12
0.09,-0.07,0.99,9.44,3.0,0.02
0.08,-0.08,0.97,13.29,7.28,0.86
0.05,-0.06,1.0,6.33,6.18,0.12
0.06,-0.07,1.0,2.44,3.4,-0.78
0.06,-0.08,1.0,1.75,3.06,-0.59
0.05,-0.08,0.99,1.65,3.0,-1.1
0.05,-0.06,0.99,4.38,2.47,-0.68
0.06,-0.04,0.99,2.15,2.18,-0.27
0.05,-0.06,0.99,-1.56,2.6,-0.4
0.04,-0.07,0.99,-0.76,1.24,-0.99
0.05,-0.05,0.99,-0.09,1.41,-0.44
0.05,-0.05,0.99,0.27,1.05,0.3
0.04,-0.06,0.99,-0.38,-1.02,-0.43
0.04,-0.05,1.0,-3.58,-1.44,-0.95
0.05,-0.04,1.02,-4.18,0.7,-0.5
0.06,-0.06,0.99,-7.21,2.12,0.31
0.07,-0.08,0.96,4.97,2.54,0.73
0.05,-0.04,0.98,4.47,0.16,-0.67
0.05,-0.04,0.99,-5.23,-2.53,-1.47
0.06,-0.07,0.98,-5.92,-1.41,-0.83
0.06,-0.06,0.99,0.68,-1.05,-0.4
0.06,-0.03,0.99,-2.15,-1.98,0.21
0.06,-0.05,0.99,-8.85,-2.6,0.01
0.06,-0.07,1.0,-10.46,-3.15,-0.44
0.06,-0.06,1.02,-13.4,-4.42,-0.47
0.06,-0.07,1.0,-15.99,-4.5,-0.42
0.06,-0.08,1.0,-18.63,-2.86,-1.56
0.06,-0.1,0.99,-14.31,-0.6,-1.63
0.06,-0.09,0.99,-11.85,-0.78,-0.82
0.07,-0.09,0.99,-11.36,-1.0,-0.3
0.08,-0.08,0.99,-9.37,0.05,0.22
0.08,-0.08,0.99,-9.04,0.87,0.95
0.09,-0.09,0.99,-10.69,1.41,0.96
0.09,-0.11,1.0,-10.02,1.81,0.46
0.09,-0.11,0.99,-8.16,1.06,-0.02
0.08,-0.11,1.0,-6.97,0.92,0.13
0.08,-0.12,0.99,-6.34,0.31,-0.19
0.09,-0.12,0.99,-8.0,0.44,-0.37
0.08,-0.13,1.0,-9.24,1.13,-0.56
0.07,-0.12,1.0,-12.82,1.27,-0.11
0.07,-0.14,0.98,-12.66,2.51,0.2
0.07,-0.16,0.98,-0.51,2.47,0.21
0.07,-0.11,0.99,0.09,-0.44,0.18
0.06,-0.12,1.01,-14.21,-0.31,-0.43
0.08,-0.17,0.97,-11.69,1.04,-0.97
0.08,-0.15,0.98,0.08,0.77,-0.2
0.07,-0.12,0.99,-3.7,1.03,0.39
0.08,-0.13,0.99,-9.5,0.98,0.31
0.08,-0.16,0.99,-6.54,0.85,-0.12
0.08,-0.15,0.98,-3.49,1.01,-0.63
0.08,-0.15,0.98,-4.37,1.38,-0.63
0.07,-0.15,0.99,-4.59,1.47,-0.45
0.07,-0.16,0.99,-4.68,1.06,-0.2
0.08,-0.16,0.99,-4.96,0.69,-0.28
0.07,-0.16,0.98,-3.73,0.77,-0.09
0.07,-0.15,0.97,-2.96,1.2,0.27
0.07,-0.15,0.98,-3.64,1.02,0.28
0.08,-0.15,0.98,-4.74,0.8,-0.22
0.08,-0.16,0.98,-4.0,1.26,-0.4
0.08,-0.16,0.98,-3.77,1.33,-0.58
0.08,-0.15,0.99,-3.09,1.02,-0.68
0.08,-0.16,0.99,-2.09,0.32,-0.34
0.08,-0.15,0.99,-3.4,0.63,-0.27
0.07,-0.17,0.98,-3.69,1.05,-0.46
0.08,-0.16,0.99,-2.08,1.5,-0.25
0.07,-0.14,0.99,-5.61,1.8,0.05
0.08,-0.18,0.96,-3.24,2.06,-0.05
0.07,-0.17,0.98,3.94,0.98,-0.53
0.07,-0.14,1.0,1.47,-0.02,-0.6
0.07,-0.16,0.99,-6.69,0.78,-1.07
0.07,-0.18,0.97,0.08,1.16,-0.62
0.08,-0.14,0.99,1.18,1.67,-0.02
0.08,-0.15,0.99,-5.97,1.75,0.16
0.08,-0.18,0.99,-4.34,1.56,-0.25
0.07,-0.17,0.98,0.5,0.47,-0.49
0.08,-0.14,0.99,-0.4,1.59,-1.14
0.08,-0.16,0.98,-3.78,2.58,-0.74
0.07,-0.18,0.98,1.01,2.18,-0.23
0.07,-0.16,0.99,1.78,1.2,-0.37
0.07,-0.16,0.99,0.59,0.81,-0.62
0.08,-0.17,0.98,10.93,1.04,0.21
0.07,-0.11,0.99,8.61,1.19,0.54
0.08,-0.13,0.99,-6.49,1.55,-0.52
0.08,-0.18,0.99,-2.06,1.54,-0.79
0.08,-0.15,0.99,3.07,1.79,-0.63
0.08,-0.14,0.98,0.37,1.79,-0.83
0.07,-0.14,0.98,0.0,1.92,-0.27
0.07,-0.14,1.0,-0.15,1.15,-0.32
0.07,-0.15,0.99,1.4,1.45,-0.48
0.08,-0.14,0.98,4.48,2.63,-0.32
0.06,-0.12,1.01,0.12,1.8,-0.36
0.08,-0.15,0.97,-1.4,2.13,-0.33
0.06,-0.14,0.99,5.82,1.84,-0.99
0.07,-0.12,0.99,0.78,0.76,-1.29
0.07,-0.15,0.99,-3.47,1.08,-0.92
0.07,-0.14,0.97,2.95,2.24,-0.4
0.08,-0.11,0.99,4.78,2.14,-0.13
0.07,-0.11,0.99,-2.31,1.71,0.04
0.06,-0.14,0.99,1.59,2.06,-0.05
0.07,-0.11,1.0,1.08,1.6,-0.68
0.07,-0.13,0.98,0.37,1.35,-1.28
0.07,-0.12,0.99,2.86,1.98,-1.24
0.07,-0.12,1.01,1.39,4.11,-0.92
0.06,-0.12,1.01,-1.6,6.21,-0.48
0.07,-0.14,0.98,4.36,4.73,0.41
0.07,-0.12,0.97,16.98,3.75,1.31
0.06,-0.07,0.99,14.31,2.63,1.18
0.06,-0.07,0.99,5.41,1.64,0.26
0.07,-0.1,0.99,3.37,1.57,-0.79
0.06,-0.09,0.99,2.91,1.43,-1.24
0.06,-0.09,1.01,2.56,1.73,-0.96
0.06,-0.1,1.0,3.82,0.38,-0.71
0.06,-0.09,0.99,6.76,0.15,-0.64
0.06,-0.08,0.99,7.17,0.99,-0.21
0.06,-0.07,0.99,5.4,1.56,-0.04
0.06,-0.05,1.01,-2.15,1.34,-0.06
0.06,-0.08,0.98,-0.33,1.61,0.53
0.05,-0.07,1.01,5.44,1.02,-0.4
0.06,-0.06,1.01,1.4,0.5,-0.78
0.06,-0.07,0.98,1.3,1.37,-0.48
0.07,-0.07,0.98,5.6,2.4,-0.34
0.06,-0.05,0.99,4.88,2.44,-0.25
0.06,-0.04,0.98,1.15,1.41,0.37
0.06,-0.06,0.97,0.94,0.15,0.29
0.05,-0.05,0.98,1.0,0.07,-0.32
0.05,-0.05,0.98,0.15,0.84,-0.76
0.05,-0.03,1.0,-3.12,1.95,-0.85
0.06,-0.06,1.0,-10.71,-0.19,-0.54
0.06,-0.08,0.99,-4.29,-0.2,-0.31
0.06,-0.05,0.98,-1.67,-0.76,0.16
0.06,-0.04,0.98,-3.18,0.51,0.34
0.07,-0.04,1.02,-10.47,2.24,1.69
0.07,-0.08,1.0,-8.37,4.42,1.91
0.07,-0.08,0.99,-0.95,2.45,0.08
0.05,-0.04,0.99,-1.05,-0.52,-1.88
0.05,-0.04,1.0,-10.72,-1.08,-2.31
0.07,-0.07,0.99,-9.4,0.46,-1.21
0.06,-0.07,1.0,-8.72,0.53,-0.52
0.05,-0.08,1.0,-10.81,-0.7,-0.38
0.06,-0.1,0.99,-8.53,-0.26,-0.53
0.06,-0.07,1.02,-8.89,0.0,0.1
0.06,-0.09,0.99,-15.41,0.35,0.56
0.06,-0.11,0.98,-6.44,0.97,0.45
0.06,-0.09,0.99,-5.37,-0.5,-0.19
0.08,-0.09,1.01,-12.18,0.13,-0.23
0.07,-0.12,0.99,-15.46,4.33,-0.18
0.06,-0.13,0.98,-5.41,3.53,0.0
0.07,-0.09,0.99,-3.08,1.47,0.13
0.07,-0.09,0.99,-11.27,0.5,-0.12
0.07,-0.12,1.01,-12.85,0.94,-0.4
0.06,-0.13,0.99,-8.93,-0.3,-0.6
0.06,-0.12,0.99,-7.22,-0.22,-0.98
0.07,-0.12,0.98,-7.01,0.24,-0.5
0.06,-0.13,0.99,-6.58,0.14,-0.37
0.05,-0.12,1.0,-7.84,-0.26,-0.37
0.06,-0.13,0.99,-8.12,-0.24,-0.15
0.06,-0.13,0.98,-7.22,0.0,0.13
0.06,-0.13,0.98,-6.08,-0.24,0.29
0.07,-0.14,0.99,-6.45,-0.21,0.03
0.08,-0.14,1.0,-6.09,-0.22,-0.41
0.07,-0.15,1.0,-6.02,-0.04,-0.75
0.06,-0.15,0.98,-5.17,-0.08,-0.81
0.07,-0.15,0.99,-3.68,-1.32,-0.21
0.07,-0.14,0.99,-5.88,-0.07,-0.27
0.08,-0.16,0.98,-5.31,0.6,-0.56
0.06,-0.15,1.0,-2.92,0.15,-0.53
0.06,-0.14,0.99,-7.98,0.87,-0.41
0.08,-0.17,0.99,-4.77,2.1,-0.06
0.07,-0.16,0.99,0.32,0.87,0.05
0.08,-0.15,1.0,-2.6,-0.15,-0.34
0.07,-0.16,0.98,-3.39,1.17,-0.47
0.07,-0.15,0.97,5.41,1.46,0.15
0.08,-0.11,0.97,0.68,1.1,0.24
0.08,-0.14,0.98,-9.05,0.7,-0.24
0.07,-0.17,1.0,-6.74,1.0,-1.09
0.07,-0.18,0.99,-1.72,-0.31,-1.12
0.07,-0.15,0.98,-0.29,1.28,-0.65
0.07,-0.15,0.99,-2.07,1.69,0.13
0.07,-0.15,0.99,-2.05,1.04,0.17
0.07,-0.15,0.99,-4.69,1.24,0.12
0.07,-0.16,0.99,-4.11,1.58,0.24
0.08,-0.16,0.98,-0.29,2.28,0.5
0.07,-0.14,1.0,0.16,1.94,0.11
0.08,-0.15,0.98,-2.38,1.44,-0.5
0.08,-0.16,0.99,-2.84,1.37,-0.92
0.07,-0.15,0.98,-1.52,1.41,-0.89
0.07,-0.15,0.98,-1.68,1.12,-0.66
0.07,-0.15,1.0,-3.44,0.98,-0.41
0.07,-0.17,0.98,-2.33,1.37,-0.83
0.08,-0.15,1.0,-0.52,2.01,-0.31
0.07,-0.15,0.99,-6.0,1.98,0.15
0.07,-0.17,0.99,-0.2,1.46,-0.1
0.07,-0.16,1.0,4.98,0.95,-0.63
0.08,-0.14,1.01,-0.17,0.5,-0.98
0.07,-0.17,0.96,1.32,2.34,-0.56
0.08,-0.14,0.97,9.5,2.3,-0.4
0.08,-0.12,0.99,2.27,1.21,-0.01
0.06,-0.16,0.99,8.2,-0.86,0.37
0.07,-0.12,0.98,17.28,2.3,1.19
0.07,-0.11,0.98,3.04,1.4,-0.62
0.07,-0.14,0.99,3.95,1.93,-1.56
0.07,-0.13,1.0,4.91,1.79,-1.31
0.06,-0.11,1.0,2.52,1.57,-0.73
0.06,-0.12,0.98,2.38,1.89,-0.16
0.06,-0.12,0.98,4.15,2.18,0.09
0.07,-0.11,0.99,4.53,1.78,0.07
0.07,-0.1,0.99,3.95,1.84,-0.39
0.07,-0.1,0.99,1.68,2.14,-0.53
0.07,-0.11,0.99,1.67,2.26,-0.92
0.07,-0.1,1.0,1.18,1.76,-1.18
0.07,-0.11,0.99,2.43,1.82,-1.13
0.06,-0.12,0.98,6.72,1.5,-1.14
0.06,-0.07,1.02,3.31,2.65,-0.58
0.06,-0.09,0.98,0.83,2.41,0.15
0.05,-0.09,0.99,6.42,1.43,-0.31
0.05,-0.08,1.02,4.38,-0.02,-1.57
0.06,-0.09,0.98,6.71,-0.94,-0.31
0.06,-0.08,0.94,17.76,2.98,0.42
0.07,-0.03,0.99,11.15,4.12,0.07
0.07,-0.04,0.99,-3.05,2.46,0.35
0.06,-0.08,1.0,-4.77,0.64,0.3
0.06,-0.07,1.0,-2.55,-0.13,-0.31
0.06,-0.08,0.98,0.87,0.63,-0.15
0.07,-0.06,0.98,3.41,1.24,-0.18
0.06,-0.06,0.97,1.02,0.83,-0.66
0.07,-0.05,0.99,-2.08,0.37,-0.54
0.06,-0.05,1.01,-10.33,0.18,-0.42
0.06,-0.08,1.0,-8.21,-0.15,-0.29
0.06,-0.07,1.01,-2.39,-0.27,0.08
0.06,-0.07,1.02,-2.82,-2.88,-0.77
0.07,-0.08,0.96,2.42,-1.89,-2.26
0.07,-0.03,0.98,-0.47,0.29,-1.15
0.07,-0.05,0.98,-12.56,0.84,-0.35
0.07,-0.09,1.0,-9.95,-0.75,-0.18
0.07,-0.09,1.0,-5.01,-1.29,-0.65
0.08,-0.06,1.02,-7.82,-0.45,-0.34
0.08,-0.08,0.98,-13.97,0.55,0.2
0.07,-0.1,0.98,-4.34,0.96,0.82
0.08,-0.07,0.98,-3.86,0.41,0.64
0.08,-0.07,1.0,-12.67,-0.6,0.12
0.08,-0.1,1.0,-16.5,0.39,0.06
0.07,-0.11,0.99,-10.57,0.59,-0.09
0.07,-0.09,0.99,-8.32,0.92,0.44
0.07,-0.1,0.99,-11.85,1.06,0.68
0.07,-0.12,1.0,-12.47,1.32,0.26
0.08,-0.12,0.99,-11.27,1.15,0.06
0.08,-0.13,0.99,-7.86,1.78,-0.06
0.07,-0.13,0.98,-6.79,2.17,0.23
0.07,-0.12,0.99,-6.79,2.33,0.24
0.07,-0.13,0.99,-8.54,1.13,0.23
0.08,-0.13,0.98,-7.61,0.62,-0.11
0.08,-0.13,0.98,-6.98,0.98,-0.12
0.07,-0.13,0.99,-6.93,1.31,0.29
0.07,-0.13,0.99,-7.03,1.25,0.0
0.07,-0.14,0.99,-7.39,0.9,-0.35
0.07,-0.15,0.99,-5.81,0.6,-0.52
0.07,-0.15,0.98,-4.74,0.21,-0.58
0.08,-0.14,0.99,-5.66,0.36,-0.7
0.07,-0.16,0.99,-4.98,0.95,-0.46
0.07,-0.14,1.0,-5.58,1.08,-0.01
0.07,-0.15,0.97,-7.06,1.79,0.31
0.07,-0.17,0.98,-0.27,1.27,0.1
0.08,-0.14,0.99,1.39,-0.29,-0.05
0.08,-0.13,1.01,-10.21,-0.43,-0.9
0.07,-0.18,0.97,-9.6,0.69,-1.04
0.08,-0.16,0.98,1.4,0.77,-0.47
0.08,-0.13,0.98,-2.87,1.05,0.11
0.07,-0.15,0.99,-8.04,1.33,0.21
0.08,-0.17,0.98,-4.91,0.63,-0.23
0.07,-0.16,0.98,-1.33,0.69,-0.72
0.08,-0.15,0.99,-3.35,1.42,-0.71
0.07,-0.16,0.99,-3.9,1.75,-0.49
0.07,-0.17,1.0,-3.6,1.29,-0.41
0.08,-0.17,0.99,-2.53,1.22,-0.26
0.07,-0.16,0.99,-2.43,1.08,-0.18
0.08,-0.16,0.98,-1.15,1.44,0.11
0.07,-0.15,0.99,0.82,1.35,0.07
0.08,-0.15,0.99,-1.09,1.5,-0.51
0.08,-0.16,0.98,-0.01,1.2,-0.77
0.07,-0.16,0.99,2.25,1.28,-0.71
0.08,-0.15,0.98,2.21,1.25,-0.63
0.07,-0.16,0.99,1.83,1.54,-0.67
0.07,-0.16,0.99,2.16,1.79,-0.9
0.07,-0.15,1.0,2.08,1.51,-0.23
0.07,-0.14,0.98,-0.73,1.73,-0.1
0.07,-0.15,0.99,4.52,1.99,-0.41
0.07,-0.14,0.98,3.98,0.86,-0.75
0.07,-0.14,1.0,-1.05,0.73,-0.96
0.07,-0.14,0.98,1.6,1.42,-0.75
0.07,-0.13,0.98,6.04,1.08,-0.67
0.07,-0.12,0.99,1.66,1.46,-0.4
0.06,-0.14,0.99,0.34,1.95,-0.15
0.07,-0.13,0.99,2.44,1.29,-0.47
0.07,-0.13,0.98,2.67,1.11,-1.15
0.07,-0.13,0.99,2.68,1.59,-1.02
0.08,-0.14,0.99,3.19,2.04,-0.65
0.07,-0.12,0.99,3.24,1.88,-0.21
0.07,-0.12,1.0,1.83,1.23,-0.48
0.07,-0.11,0.99,1.97,2.25,-0.08
0.07,-0.11,1.0,3.02,2.15,-0.07
0.08,-0.11,1.0,0.42,1.22,-0.54
0.08,-0.13,0.98,5.37,2.34,-0.77
0.06,-0.11,0.98,7.56,2.11,-0.77
0.06,-0.09,0.99,2.36,2.11,-0.81
0.07,-0.1,0.99,2.62,1.82,-0.46
0.07,-0.1,0.99,2.16,1.38,-0.69
0.06,-0.1,0.99,1.95,1.71,-0.76
0.06,-0.09,1.0,4.19,1.98,-0.4
0.06,-0.08,1.0,-2.5,2.01,-0.25
0.07,-0.1,0.98,2.03,1.56,0.1
0.07,-0.09,0.99,4.05,1.92,-0.6
0.07,-0.09,0.99,-1.18,0.53,-0.67
0.07,-0.1,0.99,-2.3,1.5,-0.33
0.07,-0.1,0.97,3.02,1.9,-0.62
0.07,-0.07,0.99,3.23,1.26,-0.12
0.07,-0.08,1.0,-0.44,0.8,0.27
0.06,-0.09,0.98,1.05,1.05,-0.11
0.07,-0.09,0.98,-0.69,0.57,-0.49
0.06,-0.08,0.97,0.79,0.34,-0.79
0.07,-0.07,1.0,-5.03,0.82,-0.73
0.06,-0.09,0.99,-7.48,0.3,-0.34
0.06,-0.09,0.99,-3.0,-0.37,-0.17
0.07,-0.09,0.99,-4.01,-0.66,-0.08
0.07,-0.07,0.98,-4.76,0.27,0.51
0.07,-0.08,1.0,-6.33,0.36,0.93
0.07,-0.09,0.99,-8.16,-0.11,0.44
0.07,-0.09,0.99,-8.34,0.18,-0.34
0.07,-0.1,0.99,-8.25,-0.21,-0.54
0.08,-0.11,0.99,-7.92,0.37,-0.55
0.08,-0.1,0.98,-7.5,0.45,-0.22
0.07,-0.1,1.0,-7.27,0.63,-0.17
0.07,-0.1,1.0,-10.45,0.37,-0.57
0.07,-0.11,1.01,-10.71,0.92,-0.12
0.07,-0.12,0.99,-10.6,0.68,0.34
0.07,-0.13,0.97,-2.95,2.18,0.46
0.07,-0.11,0.99,-0.56,1.66,0.51
0.07,-0.1,1.01,-8.1,-0.05,0.02
0.07,-0.14,1.0,-13.75,0.42,-1.06
0.07,-0.14,0.98,-7.46,0.81,-0.88
0.08,-0.12,1.0,-4.73,0.76,-0.37
0.08,-0.12,0.99,-8.0,0.73,0.4
0.07,-0.13,0.99,-8.15,1.77,0.27
0.07,-0.14,0.98,-6.1,0.64,-0.06
0.07,-0.14,0.99,-4.4,1.0,-0.4
0.07,-0.14,0.99,-5.46,1.4,-0.26
0.07,-0.15,0.99,-5.6,1.52,-0.05
0.07,-0.15,0.99,-6.15,1.05,-0.28
0.07,-0.15,0.99,-4.69,0.62,-0.37
0.08,-0.15,0.99,-4.26,0.94,-0.11
0.07,-0.14,0.98,-4.85,0.73,0.13
0.07,-0.15,0.98,-5.12,0.63,0.0
0.07,-0.15,0.99,-5.22,0.98,-0.46
0.07,-0.15,0.98,-3.95,0.85,-0.74
0.07,-0.14,0.99,-4.24,1.12,-0.51
0.07,-0.15,0.98,-5.07,1.15,-0.18
0.07,-0.16,0.98,-4.44,0.36,-0.13
0.08,-0.16,0.99,-3.94,0.68,-0.28
0.07,-0.16,0.98,-3.6,1.09,-0.63
0.07,-0.15,1.0,-3.76,1.11,-0.27
0.08,-0.15,0.98,-6.54,1.76,0.04
0.07,-0.17,0.98,0.03,1.54,-0.08
0.07,-0.16,0.97,2.49,0.27,-0.36
0.07,-0.14,1.01,-5.79,-0.58,-0.69
0.07,-0.17,0.99,-8.65,0.19,-1.12
0.08,-0.17,0.97,0.92,1.15,-0.5
0.07,-0.14,0.98,-0.35,1.2,0.6
0.07,-0.15,0.98,-7.09,1.1,0.44
0.07,-0.17,0.99,-5.15,1.37,-0.17
0.08,-0.17,0.98,-1.13,0.77,-0.76
0.08,-0.16,0.99,-2.89,0.92,-0.95
0.08,-0.18,0.98,-3.57,1.47,-0.34
0.07,-0.17,1.0,-1.23,1.41,-0.08
0.07,-0.16,0.99,-3.02,1.42,-0.56
0.07,-0.17,0.99,-2.96,1.88,-0.26
0.08,-0.16,0.98,-1.09,2.31,0.05
0.08,-0.16,0.97,2.08,1.76,0.34
0.07,-0.15,0.99,0.23,1.4,-0.2
0.07,-0.16,0.98,-3.72,1.06,-0.68
0.07,-0.17,0.98,-1.44,1.34,-1.05
0.07,-0.16,1.0,-0.2,1.77,-0.92
0.07,-0.16,0.98,0.05,1.76,-0.42
0.07,-0.16,0.97,2.71,1.61,-0.2
0.07,-0.16,0.98,2.28,1.28,-0.11
0.08,-0.16,0.99,0.76,0.75,-0.5
0.07,-0.16,0.97,4.51,1.8,-0.36
0.07,-0.13,0.99,2.68,1.95,-0.27
0.07,-0.15,0.97,0.6,1.9,-0.66
0.07,-0.16,0.99,4.44,1.9,-1.0
0.07,-0.14,0.99,2.18,0.64,-1.19
0.07,-0.14,0.99,-1.72,1.02,-0.99
0.07,-0.15,0.98,3.97,1.85,-0.54
0.07,-0.12,0.99,4.44,1.63,-0.09
0.07,-0.13,0.98,-1.53,1.6,0.17
0.07,-0.15,0.98,1.31,1.37,-0.11
0.06,-0.13,0.99,3.4,1.07,-1.05
0.07,-0.13,0.98,1.62,1.31,-1.43
0.07,-0.13,0.98,2.97,1.97,-0.67
0.06,-0.14,0.98,3.68,1.42,-0.67
0.06,-0.13,1.0,2.2,0.84,-0.43
0.07,-0.12,0.99,2.0,1.3,-0.26
0.07,-0.12,0.99,3.4,1.71,-0.11
0.07,-0.1,0.99,3.08,1.64,-0.05
0.07,-0.11,0.99,2.05,1.53,-0.45
0.07,-0.11,0.99,2.29,1.11,-0.9
0.07,-0.11,0.98,3.98,1.58,-0.89
0.07,-0.11,0.99,3.62,1.91,-0.69
0.06,-0.11,0.99,2.71,1.82,-0.44
0.07,-0.1,1.0,2.96,1.54,-0.04
0.07,-0.1,1.0,3.0,2.2,-0.08
0.06,-0.1,0.97,2.65,4.3,-0.26
0.06,-0.08,1.0,2.14,3.6,-0.36
0.06,-0.09,0.99,-2.66,2.15,0.08
0.07,-0.1,0.97,3.82,1.36,-0.21
0.06,-0.09,0.98,4.66,0.67,-0.76
0.06,-0.08,1.0,-2.58,-0.82,-0.6
0.06,-0.11,0.97,-4.2,0.15,-0.38
0.07,-0.09,0.98,0.85,0.7,-0.21
0.06,-0.07,1.0,-4.0,-0.27,-0.08
0.07,-0.09,1.0,-6.06,-0.32,0.19
0.07,-0.1,0.99,-2.09,0.4,-0.37
0.06,-0.09,0.99,-2.7,0.02,-0.41
0.07,-0.09,0.99,-2.37,0.16,-0.44
0.07,-0.09,0.98,-3.76,0.29,-0.35
0.06,-0.1,0.98,-3.95,-0.11,-0.02
0.06,-0.09,1.01,-6.81,-0.11,0.14
0.07,-0.09,1.0,-9.98,0.39,0.18
0.07,-0.1,0.99,-8.75,1.24,0.47
0.07,-0.1,0.98,-5.93,1.13,0.68
0.08,-0.1,0.99,-6.04,0.59,0.28
0.07,-0.1,0.99,-7.64,0.21,0.1
0.07,-0.11,1.0,-7.69,0.15,-0.22
0.06,-0.11,1.0,-8.44,0.18,-0.38
0.07,-0.12,1.0,-8.72,0.14,-0.31
0.07,-0.12,0.99,-7.53,-0.15,-0.18
0.07,-0.13,1.0,-7.21,0.45,-0.12
0.08,-0.14,0.98,-5.79,0.74,-0.27
0.06,-0.12,1.01,-5.72,0.62,-0.05
0.07,-0.12,0.99,-10.71,0.69,0.13
0.06,-0.15,0.98,-4.51,2.38,-0.04
0.07,-0.14,0.98,0.08,1.15,0.45
0.07,-0.11,1.01,-8.02,1.71,0.22
0.07,-0.14,0.99,-14.28,3.37,-0.69
0.07,-0.16,0.98,-4.91,1.37,-0.56
0.08,-0.13,0.99,-2.35,2.64,0.06
0.07,-0.13,0.99,-9.16,1.91,0.44
0.07,-0.16,1.0,-9.05,2.77,0.03
0.07,-0.16,0.98,-5.55,1.66,-0.24
0.06,-0.15,0.99,-3.82,2.07,-0.5
0.07,-0.15,0.99,-5.02,2.04,-0.24
0.06,-0.16,0.99,-5.21,3.34,-0.07
0.06,-0.16,0.99,-5.47,2.11,-0.11
0.06,-0.15,0.99,-4.53,1.53,-0.15
0.06,-0.15,0.98,-4.41,1.28,-0.13
0.07,-0.15,0.97,-2.15,0.37,0.31
0.07,-0.15,0.99,-4.31,0.12,0.11
0.07,-0.17,0.99,-4.51,0.1,-0.31
0.07,-0.16,0.99,-2.55,0.09,-0.47
0.07,-0.16,0.98,-3.61,-0.37,-0.68
0.07,-0.17,0.99,-3.54,-0.27,-0.83
0.07,-0.16,0.98,-1.16,0.11,-0.36
0.06,-0.16,0.99,-1.11,0.37,-0.34
0.06,-0.16,0.98,-2.79,0.25,-0.5
0.06,-0.16,0.99,-1.21,1.47,-0.37
0.07,-0.15,1.0,-5.23,0.89,-0.31
0.08,-0.18,0.97,-3.24,1.21,-0.26
0.07,-0.17,0.99,3.17,0.56,-0.48
0.06,-0.16,1.0,1.02,-0.27,-0.44
0.06,-0.16,0.98,-6.3,0.05,-0.89
0.07,-0.17,0.97,-2.09,0.85,-0.57
0.07,-0.15,0.98,1.33,1.05,-0.09
0.07,-0.14,1.0,-5.31,0.73,0.08
0.07,-0.18,1.0,-4.08,0.88,-0.6
0.07,-0.17,0.98,3.68,0.45,-1.24
0.07,-0.15,0.98,5.55,0.92,-1.2
0.07,-0.14,0.98,-0.56,1.38,-0.75
0.07,-0.18,0.99,-0.73,1.59,-0.37
0.06,-0.17,0.99,2.26,0.62,-0.72
0.07,-0.15,0.99,2.49,1.25,-0.75
0.07,-0.14,0.99,2.23,1.34,-0.08
0.07,-0.15,0.98,2.95,1.16,0.11
0.07,-0.14,0.99,1.93,1.31,-0.24
0.07,-0.15,0.99,-0.06,1.05,-0.88
0.07,-0.14,0.98,2.07,1.4,-0.93
0.06,-0.13,0.99,2.53,1.65,-0.97
0.07,-0.14,0.99,1.99,1.51,-0.63
0.08,-0.15,0.99,2.38,1.08,-0.29
0.07,-0.14,0.99,3.21,0.87,-0.45
0.06,-0.13,0.97,3.96,1.02,-0.63
0.07,-0.12,0.99,5.53,1.91,-0.34
0.07,-0.1,0.99,-1.57,1.67,-0.27
0.07,-0.14,0.98,2.07,1.37,-0.37
0.06,-0.13,0.99,6.09,1.46,-1.0
0.07,-0.12,1.0,1.22,0.45,-0.89
0.07,-0.13,0.97,-0.29,1.69,-0.42
0.07,-0.12,0.98,4.56,1.69,-0.34
0.07,-0.1,1.0,1.83,1.67,-0.08
0.07,-0.11,0.99,-0.98,1.4,0.06
0.06,-0.12,1.0,0.7,1.74,-0.28
0.07,-0.11,1.0,0.34,1.41,-0.73
0.07,-0.12,0.99,3.68,1.53,-0.69
0.07,-0.11,0.98,3.7,2.21,-0.5
0.07,-0.11,0.99,3.43,1.45,-0.4
0.06,-0.1,0.98,4.91,1.77,-0.27
0.06,-0.08,1.0,2.76,1.3,-0.31
0.07,-0.09,0.98,3.26,2.11,-0.15
0.06,-0.08,1.0,4.0,1.71,0.11
0.06,-0.08,0.99,-0.07,1.73,-0.15
0.06,-0.1,0.99,1.99,1.65,-0.26
0.07,-0.09,0.99,2.08,1.65,-0.67
0.06,-0.08,1.0,1.6,1.91,-0.78
0.11,-0.08,0.99,-5.47,3.34,2.39
0.11,-0.06,0.99,-5.37,4.02,3.5
0.11,-0.07,1.0,-3.26,5.06,4.76
0.1,-0.09,0.97,2.28,3.65,4.35
0.1,-0.05,1.01,2.81,4.56,2.69
0.11,-0.07,0.99,-5.89,4.98,1.09
0.09,-0.1,1.0,-2.53,5.63,0.04
0.08,-0.1,1.01,1.58,3.2,-0.56
0.08,-0.1,1.0,-3.91,2.29,-0.04
0.07,-0.1,0.99,-1.44,2.95,2.76
0.06,-0.11,0.98,-3.56,3.95,7.81
0.12,-0.09,0.97,14.07,1.83,7.51
0.07,-0.01,0.99,0.02,1.57,0.14
0.07,-0.06,1.0,-6.59,3.62,-3.23
0.07,-0.11,0.99,-2.16,0.19,-1.35
0.08,-0.07,0.98,4.56,-1.69,-2.83
